speed,time,axis_x/Name,axis_x/Value,axis_y/Value,axis_y/Name,axis_z/Value,axis_z/Name,latitude,longitude,eco_type/Name,eco_type/Value
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
31,"May 29, 2022",Axis X,-562,-288,Axis Y,-1908,Axis Z,511045166,714307666,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
33,"May 29, 2022",Axis X,-469,-343,Axis Y,-1963,Axis Z,511044333,714307449,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
39,"May 29, 2022",Axis X,-513,-244,Axis Y,-2027,Axis Z,511042516,714306966,Green driving type,1
